word,is_error,textract_score,ner_score,pos_score,gibb_score,word_length,contains_nonalpha,dict_presence,closest_word,editdistance,jaccard_similarity,string_containment,char_intersection_count
Renestri,1,0.970548852,0.988005936,0,0.091050759,8,0,0,chemistry,0.555555556,0.5,0.833333333,5
credicus,1,0.998765213,0.953617156,0,0.080357579,8,0,0,ridiculous,0.5,0.666666667,0.857142857,6
effert,1,0.98260525,0.902089834,0.404960275,0.048394453,6,0,0,effort,0.166666667,0.8,1,4
helful,1,0.990414865,0,0.511261523,0.059889868,6,0,0,helpful,0.142857143,0.833333333,1,5
dair,1,0.978668032,0,0.64601171,0.031475726,4,0,0,dinner,0.666666667,0.5,0.75,3
ridiculosis,1,0.983347434,0,0,0.067518229,11,0,0,ridiculous,0.181818182,1,1,8
negoacations,1,0.228331638,0,0,0.052194319,12,0,0,negotiations,0.166666667,0.888888889,1,8
emmetation,1,0.982211609,0,0,0.066485187,10,0,0,imitation,0.3,0.857142857,1,6
breaktime,1,0.561422052,0,0,0.040810307,9,0,0,break time,0.1,0.888888889,1,8
wonon,1,0.984026113,0.687974453,0.471128404,0.107135466,5,0,0,women,0.4,0.6,1,3
pefor,1,0.970530744,0,0,0.075059417,5,0,0,before,0.333333333,0.666666667,0.8,4
deafadently,1,0.970369914,0,0,0.055292757,11,0,0,definitely,0.545454545,0.777777778,0.875,7
diying,1,0.959899216,0,0,0.012702108,6,0,0,dying,0.166666667,1,1,5
wite,1,0.968421754,0,0,0.126599955,4,0,0,white,0.2,0.8,1,4
propogate,1,0.990310144,0,0,0.060591034,9,0,0,propagate,0.111111111,1,1,7
occationally,1,0.983356641,0,0,0.069932982,12,0,0,occasionally,0.083333333,0.777777778,0.875,7
schuald,1,0.966197973,0.492793947,0,0.037648981,7,0,0,scheduled,0.444444444,0.75,0.857142857,6
doatg,1,0.978330083,0,0.381794184,0.009266806,5,0,0,dart,0.6,0.5,0.75,3
undotedaly,1,0.296408967,0,0,0.074500816,10,0,0,undoubtedly,0.272727273,0.8,0.888888889,8
funtumentu,1,0.990559693,0,0,0.061570156,10,0,0,fundamental,0.363636364,0.666666667,1,6
measem,1,0.975369909,0,0,0.078638201,6,0,0,museum,0.5,0.6,0.75,3
bankrucy,1,0.204804789,0,0,0.022889635,8,0,0,bankruptcy,0.2,0.8,1,8
lonelyness,1,0.960033102,0,0,0.056939891,10,0,0,loneliness,0.1,0.714285714,0.833333333,5
sackraligous,1,0.966591488,0,0,0.048645427,12,0,0,sacrilegious,0.333333333,0.818181818,0.9,9
riemd,1,0.970604438,0,0,0.010914666,5,0,0,removed,0.571428571,0.571428571,0.8,4
neigbouring,1,0.96693208,0,0.335651904,0.040986003,11,0,0,neighboring,0.181818182,0.777777778,0.875,7
diaster,1,0.979978512,0,0,0.082718232,7,0,0,disaster,0.125,1,1,7
specimins,1,0.522112781,0,0,0.062298819,9,0,0,specimens,0.111111111,1,1,7
beared,1,0.973578945,0,0,0.124824935,6,0,0,buried,0.5,0.571428571,0.8,4
compun,1,0.978792292,0,0,0.083718482,6,0,0,community,0.444444444,0.555555556,0.833333333,5
smokeing,1,0.975448055,0,0,0.054648692,8,0,0,smoking,0.125,0.875,1,7
aplication,1,0.250247784,0,0,0.086140793,10,0,0,application,0.090909091,1,1,8
bineing,1,0.983204122,0,0,0.081583744,7,0,0,dining,0.285714286,0.5,0.75,3
seroundings,1,0.905050971,0,0,0.10597414,11,0,0,surroundings,0.166666667,0.888888889,1,8
exeplishing,1,0.985271991,0,0,0.072291677,11,0,0,exceptionally,0.615384615,0.428571429,0.666666667,6
flring,1,0.95388812,0,0,0.047852564,6,0,0,flying,0.166666667,0.714285714,0.833333333,5
misillaneous,1,0.970202261,0,0,0.076935752,12,0,0,miscellaneous,0.153846154,0.9,1,9
appriotate,1,0.968976068,0.719816506,0,0.068940093,10,0,0,appropriate,0.363636364,1,1,7
alltogether,1,0.982423352,0,0,0.077583647,11,0,0,altogether,0.090909091,1,1,8
peruer,1,0.981108412,0.566892385,0,0.075048665,6,0,0,particular,0.6,0.333333333,0.75,3
prtened,1,0.955802536,0,0,0.086840184,7,0,0,pretend,0.285714286,1,1,6
stisicks,1,0.97895687,0,0,0.071818208,8,0,0,statistics,0.4,0.666666667,0.8,4
derief,1,0.957916183,0.676688075,0,0.06040659,6,0,0,belief,0.333333333,0.428571429,0.6,3
unexpickted,1,0.982841461,0,0,0.045107203,11,0,0,unexpected,0.181818182,0.8,1,8
leanr,1,0.990513282,0,0,0.032800377,5,0,0,leaner,0.166666667,1,1,5
unfortuantley,1,0.961116724,0,0,0.048246714,13,0,0,unfortunately,0.307692308,1,1,10
fundimentle,1,0.990187554,0,0,0.080542358,11,0,0,fundamental,0.272727273,0.8,0.888888889,8
innishals,1,0.989533029,0,0,0.05993548,9,0,0,initials,0.333333333,0.714285714,0.833333333,5
hapily,1,0.978745891,0.42654404,0,0.062617351,6,0,0,happily,0.142857143,1,1,6
inisciation,1,0.993084555,0,0,0.073242087,11,0,0,initiation,0.181818182,0.714285714,1,5
saresitic,1,0.960662989,0.870357633,0,0.087630909,9,0,0,parasitic,0.222222222,0.75,0.857142857,6
fanatism,1,0.97243005,0,0,0.069187377,8,0,0,fanaticism,0.2,0.875,1,7
aprorate,1,0.99301512,0,0,0.087892469,8,0,0,appropriate,0.272727273,0.857142857,1,6
mutalate,1,0.962324496,0.583303332,0,0.080328844,8,0,0,mutilate,0.125,0.857142857,1,6
engsty,1,0.971209256,0,0,0.050897948,6,0,0,industry,0.5,0.4,0.666666667,4
ditlivered,1,0.982416855,0,0,0.093788884,10,0,0,delivered,0.2,0.857142857,1,6
prominately,1,0.993667553,0,0,0.089423901,11,0,0,prominently,0.272727273,0.909090909,1,10
eeconomemic,1,0.386764877,0,0,0.068304314,11,0,0,economics,0.363636364,0.857142857,1,6
taek,1,0.990959177,0,0.98938328,0.004430875,4,0,0,take,0.5,1,1,4
spirttual,1,0.976474593,0,0,0.033090036,9,0,0,spiritual,0.111111111,1,1,8
consciencous,1,0.988542254,0,0,0.079351017,12,0,0,conscientious,0.153846154,0.875,1,7
freand,1,0.966156737,0,0,0.130502414,6,0,0,friend,0.333333333,0.714285714,0.833333333,5
desideadly,1,0.966531251,0,0,0.058873605,10,0,0,decidedly,0.2,0.625,0.833333333,5
apolajoy,1,0.952055906,0.996765018,0.43230018,0.026720239,8,0,0,apology,0.375,0.714285714,0.833333333,5
refrigirator,1,0.953771077,0,0,0.0674108,12,0,0,refrigerator,0.083333333,1,1,8
exbintions,1,0.960317947,0,0,0.034174413,10,0,0,exhibition,0.4,0.777777778,0.875,7
corrispond,1,0.992784745,0,0,0.09385851,10,0,0,correspond,0.1,0.777777778,0.875,7
soleom,1,0.976442022,0.917877853,0,0.040079045,6,0,0,solemn,0.333333333,0.833333333,1,5
acknowlging,1,0.950434115,0,0,0.034792918,11,0,0,acknowledging,0.153846154,0.818181818,1,9
enormus,1,0.962379319,0.895332634,0,0.062696371,7,0,0,enormous,0.125,1,1,7
necessily,1,0.989032652,0,0,0.068334537,9,0,0,necessarily,0.181818182,0.777777778,1,7
coutueversy,1,0.991308215,0,0,0.062867678,11,0,0,controversy,0.272727273,0.8,0.888888889,8
plentl,1,0.963392574,0,0,0.070801188,6,0,0,plenty,0.166666667,0.833333333,1,5
remackuble,1,0.966724649,0.983924091,0,0.062970463,10,0,0,splendid,1,0.142857143,0.285714286,2
apselutely,1,0.958779196,0,0,0.048481768,10,0,0,absolutely,0.2,0.7,0.875,7
discreation,1,0.988304109,0,0,0.080104265,11,0,0,discretion,0.090909091,0.9,1,9
explity,1,0.955843039,0,0,0.060904293,7,0,0,explicitly,0.3,0.875,1,7
sournate,1,0.964175933,0.54039818,0,0.069218343,8,0,0,sorority,0.625,0.4,0.666666667,4
waht,1,0.975280572,0,0,0.017785351,4,0,0,what,0.5,1,1,4
intitals,1,0.977085142,0,0,0.081035981,8,0,0,initials,0.25,1,1,6
recommandment,1,0.983148645,0,0,0.083450299,13,0,0,recommendation,0.428571429,0.9,1,9
prowd,1,0.973559583,0,0,0.042767164,5,0,0,proud,0.2,0.666666667,0.8,4
faniht,1,0.981701072,0,0.450559646,0.015709615,6,0,0,friend,0.833333333,0.333333333,0.5,3
oposut,1,0.993821285,0,0,0.0533096,6,0,0,opposite,0.375,0.571428571,0.8,4
remitens,1,0.961725317,0,0,0.082217671,8,0,0,remittance,0.4,0.666666667,0.857142857,6
suppictments,1,0.969905891,0,0,0.051115711,12,0,0,specimens,0.416666667,0.777777778,1,7
permerant,1,0.979860552,0.570371211,0,0.116485862,9,0,0,permanent,0.333333333,1,1,7
atocjoes,1,0.978568891,0,0,0.015259969,8,0,0,attaching,0.666666667,0.272727273,0.428571429,3
barther,1,0.95365714,0,0,0.137650285,7,0,0,bother,0.285714286,0.714285714,0.833333333,5
gaog,1,0.595097038,0.527955353,0.437733799,0.004799781,4,0,0,gauge,0.4,0.4,0.666666667,2
puple,1,0.96769606,0,0,0.073098536,5,0,0,pupil,0.4,0.6,0.75,3
premeum,1,0.985873646,0,0.310432106,0.051574423,7,0,0,premium,0.142857143,0.833333333,1,5
suteable,1,0.974669172,0,0,0.071035356,8,0,0,suitable,0.25,0.875,1,7
arplane,1,0.965239906,0,0,0.064512831,7,0,0,aeroplane,0.222222222,0.857142857,1,6
principels,1,0.975034302,0.72653085,0,0.059059486,10,0,0,principles,0.2,1,1,8
tobagan,1,0.990378418,0.951731503,0.460898459,0.04753592,7,0,0,toboggan,0.25,1,1,6
inigiation,1,0.991743396,0,0,0.07261305,10,0,0,initiation,0.1,0.833333333,1,5
custamary,1,0.972511114,0,0,0.068641342,9,0,0,customary,0.111111111,0.888888889,1,8
seldem,1,0.976669562,0,0,0.058721133,6,0,0,seldom,0.166666667,0.833333333,1,5
gread,1,0.981266948,0,0,0.079721858,5,0,0,grade,0.4,1,1,5
dieffinate,1,0.991398703,0,0,0.065240552,10,0,0,definite,0.3,0.857142857,1,6
saroity,1,0.97021429,0.564443707,0,0.044959636,7,0,0,sorority,0.25,0.857142857,1,6
unfortuant,1,0.98659044,0,0,0.057923021,10,0,0,unfortunate,0.272727273,0.875,1,7
amnner,1,0.950131925,0.918103278,0.517533362,0.024906251,6,0,0,manner,0.333333333,1,1,5
illimenate,1,0.988313366,0,0,0.087365943,10,0,0,eliminate,0.3,1,1,7
rellferll,1,0.987587753,0.904964268,0,0.062056343,9,0,0,belief,0.666666667,0.5,0.75,3
satistics,1,0.067628917,0,0,0.058606823,9,0,0,statistics,0.1,1,1,5
converlassence,1,0.973804272,0,0,0.080909923,14,0,0,convalescence,0.285714286,0.888888889,1,8
affidait,1,0.972531201,0,0,0.040970554,8,0,0,affidavit,0.111111111,0.833333333,1,5
allumnie,1,0.385454616,0.980906785,0,0.032728655,8,0,0,alumni,0.25,0.857142857,1,6
inthosiasem,1,0.986271519,0,0,0.079196616,11,0,0,enthusiasm,0.272727273,0.8,0.888888889,8
departer,1,0.952134168,0,0,0.072374622,8,0,0,departure,0.222222222,0.857142857,1,6
anticipting,1,0.99343839,0,0,0.07481034,11,0,0,anticipating,0.083333333,1,1,7
spnelldid,1,0.978549559,0,0,0.030809869,9,0,0,splendid,0.333333333,1,1,7
exserty,1,0.969940534,0,0,0.025093469,7,0,0,ecstasy,0.571428571,0.5,0.666666667,4
marjority,1,0.971941013,0,0,0.038831747,9,0,0,majority,0.111111111,1,1,8
journy,1,0.992274726,0.999801219,0,0.062973376,6,0,0,journey,0.142857143,0.857142857,1,6
supluors,1,0.98349678,0,0,0.033593283,8,0,0,surplus,0.375,0.833333333,1,5
intellegent,1,0.963503564,0,0,0.083934835,11,0,0,intelligent,0.090909091,1,1,6
inffinite,1,0.976010555,0,0,0.076597443,9,0,0,infinite,0.111111111,1,1,5
encrising,1,0.953517561,0,0,0.087676012,9,0,0,increasing,0.3,0.875,1,7
micshine,1,0.952473945,0.443916917,0,0.059077268,8,0,0,machine,0.25,0.75,0.857142857,6
suplemen,1,0.976470112,0,0,0.076148605,8,0,0,supplement,0.2,0.875,1,7
speaicl,1,0.98435916,0,0,0.049883669,7,0,0,special,0.285714286,1,1,7
accumstomed,1,0.977243787,0,0,0.059079469,11,0,0,accustomed,0.090909091,1,1,9
yahlets,1,0.993375751,0,0,0.012159908,7,0,0,sit,0.857142857,0.25,0.666666667,2
honymoon,1,0.989131273,0.781370878,0,0.050928135,8,0,0,honeymoon,0.111111111,0.833333333,1,5
prejudgious,1,0.993114897,0,0,0.042720092,11,0,0,prejudice,0.363636364,0.636363636,0.875,7
wakh,1,0.952566312,0,0,0.038866633,4,0,0,watch,0.4,0.5,0.75,3
soreity,1,0.97409859,0,0,0.055681462,7,0,0,sorority,0.25,0.857142857,1,6
fundmentel,1,0.985275304,0,0,0.064581675,10,0,0,fundamental,0.181818182,0.888888889,1,8
ceese,1,0.967901076,0,0,0.079205453,5,0,0,cease,0.2,0.75,1,3
cumfeterible,1,0.990135255,0,0,0.043137974,12,0,0,comfortable,0.5,0.666666667,0.8,8
vacashon,1,0.956935941,0,0,0.083668737,8,0,0,vacation,0.25,0.555555556,0.714285714,5
anneversery,1,0.976418093,0,0,0.076991537,11,0,0,anniversary,0.181818182,0.875,1,7
rediculius,1,0.980265009,0,0,0.060614973,10,0,0,ridiculous,0.2,0.777777778,0.875,7
conceinsious,1,0.950852885,0,0,0.088722847,12,0,0,conscience,0.666666667,0.857142857,1,6
unaninus,1,0.992580744,0.99539572,0.467662543,0.070633049,8,0,0,unanimous,0.222222222,0.714285714,1,5
stactics,1,0.963626074,0.749852896,0,0.043756959,8,0,0,statistics,0.3,1,1,5
hegde,1,0.968608702,0,0,0.025739825,5,0,0,hedge,0.4,1,1,4
fiten,1,0.96328895,0.552870154,0,0.098337699,5,0,0,frightened,0.5,0.555555556,1,5
relized,1,0.965164453,0,0,0.07136692,7,0,0,realized,0.125,0.857142857,1,6
comfortoble,1,0.969041091,0,0,0.051970195,11,0,0,comfortable,0.090909091,0.9,1,9
apeseat,1,0.958928327,0,0,0.077512706,7,0,0,appreciate,0.5,0.5,0.8,4
ransmission,1,0.987097609,0,0,0.072142938,11,0,0,transmission,0.083333333,0.875,1,7
hypotathese,1,0.960430734,0,0,0.069703998,11,0,0,hypothesis,0.363636364,0.777777778,0.875,7
accude,1,0.970916483,0,0,0.038563556,6,0,0,accrued,0.428571429,0.833333333,1,5
eagh,1,0.99107055,0,0,0.044897863,4,0,0,edge,0.5,0.4,0.666666667,2
resar,1,0.974823222,0.834676564,0,0.094144071,5,0,0,research,0.375,0.666666667,1,4
Philipines,1,0.988839357,0.493009508,0.655581534,0.063550512,10,0,0,Philippines,0.090909091,1,1,7
curizes,1,0.963441476,0,0,0.065053634,7,0,0,courtesies,0.5,0.666666667,0.857142857,6
quanity,1,0.959858538,0,0,0.083862175,7,0,0,quantity,0.125,1,1,7
dilinquent,1,0.984724083,0,0,0.070590291,10,0,0,delinquent,0.1,1,1,8
ferman,1,0.952414073,0.94806844,0,0.100388419,6,0,0,firms,0.5,0.375,0.6,3
musten,1,0.989755994,0.5096066,0.290644109,0.085697961,6,0,0,mustn't,0.428571429,0.714285714,0.833333333,5
quck,1,0.991148312,0,0,0.110934881,4,0,0,quick,0.2,0.8,1,4
arrangesments,1,0.989629261,0,0,0.075758543,13,0,0,arrangements,0.076923077,1,1,8
perhapse,1,0.99110784,0,0,0.046024629,8,0,0,perhaps,0.125,1,1,6
absred,1,0.965177952,0,0,0.01862156,6,0,0,absurd,0.333333333,0.714285714,0.833333333,5
handiciekes,1,0.983165145,0,0,0.065196492,11,0,0,handkerchiefs,0.461538462,0.818181818,1,9
dogje,1,0.958636255,0,0.555704176,0.004940005,5,0,0,dodged,0.5,0.8,1,4
pheunomina,1,0.97571745,0,0,0.05963406,10,0,0,pneumonia,0.4,0.888888889,1,8
brefe,1,0.953947613,0.938808084,0,0.061643365,5,0,0,breathe,0.428571429,0.428571429,0.75,3
magnific,1,0.986052902,0,0,0.043646059,8,0,0,magnificent,0.272727273,0.777777778,1,7
falley,1,0.950484209,0.959788501,0,0.065261637,6,0,0,folly,0.333333333,0.5,0.75,3
shuge,1,0.983804283,0,0,0.041856602,5,0,0,shaggy,0.5,0.428571429,0.6,3
exonully,1,0.975420104,0,0,0.041411281,8,0,0,exceptionally,0.461538462,0.5,0.857142857,6
serae,1,0.785562011,0,0.298609763,0.041110849,5,0,0,scare,0.6,0.8,1,4
corperation,1,0.990022211,0,0,0.088858352,11,0,0,corporation,0.090909091,0.888888889,1,8
inconvenent,1,0.986288251,0,0,0.098459839,11,0,0,inconvenience,0.230769231,0.857142857,1,6
recomendation,1,0.966522617,0,0,0.101032164,13,0,0,recommendation,0.071428571,1,1,10
garinty,1,0.988544232,0,0,0.080351349,7,0,0,guarantee,0.444444444,0.555555556,0.714285714,5
acknowledment,1,0.975759087,0,0,0.049151998,13,0,0,acknowledgement,0.133333333,0.916666667,1,11
peotly,1,0.970989897,0.92102164,0,0.034106822,6,0,0,poetry,0.5,0.714285714,0.833333333,5
coledural,1,0.522194774,0,0,0.082148397,9,0,0,collateral,0.4,0.666666667,0.857142857,6
efectuionally,1,0.973563153,0,0,0.051994045,13,0,0,affectionately,0.357142857,0.909090909,1,10
rinney,1,0.98371039,0,0,0.046118232,6,0,0,relief,0.666666667,0.428571429,0.6,3
infilitrated,1,0.988287867,0,0,0.073826809,12,0,0,infiltrated,0.083333333,1,1,9
corruspondenc,1,0.98706812,0,0,0.080188759,13,0,0,correspondence,0.142857143,0.888888889,1,8
anoym,1,0.965456781,0.962853968,0,0.027190285,5,0,0,annum,0.4,0.5,0.75,3
contineous,1,0.99327551,0,0,0.094060381,10,0,0,continuous,0.1,0.875,1,7
biult,1,0.990791919,0,0,0.018399117,5,0,0,built,0.4,1,1,5
prestigeous,1,0.987233579,0.99643898,0.458978653,0.079536795,11,0,0,prestigious,0.090909091,1,1,9
preamenantely,1,0.965427738,0,0,0.088814565,13,0,0,permanently,0.384615385,1,1,9
firght,1,0.985094851,0,0,0.039343235,6,0,0,fight,0.166666667,0.833333333,1,5
garalted,1,0.96058933,0,0,0.069441799,8,0,0,guarantee,0.333333333,0.555555556,0.714285714,5
conferrmation,1,0.987393233,0,0,0.078812531,13,0,0,confirmation,0.153846154,0.9,1,9
micnvet,1,0.499843241,0,0,0.017656841,7,0,0,magnificent,0.636363636,0.6,0.857142857,6
recegnitation,1,0.956389397,0,0,0.064578418,13,0,0,recognition,0.230769231,0.888888889,1,8
jelous,1,0.95257295,0,0.563003123,0.101178937,6,0,0,jealous,0.142857143,0.857142857,1,6
pokets,1,0.969363348,0,0,0.048155113,6,0,0,pockets,0.142857143,0.857142857,1,6
Wiich,1,0.958211895,0.998630524,0.505234957,0.039867171,5,0,0,Which,0.2,1,1,4
finicale,1,0.971102087,0,0,0.098671037,8,0,0,pinnacle,0.5,0.75,0.857142857,6
atlogeher,1,0.991309076,0.829475462,0,0.043280461,9,0,0,altogether,0.3,1,1,8
expland,1,0.961327647,0.785734177,0,0.098792556,7,0,0,explained,0.222222222,0.875,1,7
maloncolly,1,0.970914739,0,0,0.099319668,10,0,0,melancholy,0.4,0.777777778,1,7
apratiese,1,0.977994309,0.765197098,0,0.078019665,9,0,0,apparatus,0.555555556,0.625,0.833333333,5
overe,1,0.991154063,0,0,0.154980132,5,0,0,over,0.2,1,1,4
indifinately,1,0.988884085,0,0,0.088712082,12,0,0,indefinitely,0.166666667,0.888888889,1,8
dormitorrary,1,0.993582491,0,0,0.066363504,12,0,0,dormitory,0.25,0.875,1,7
manuveur,1,0.963048324,0,0,0.034625168,8,0,0,manoeuvre,0.444444444,0.875,1,7
reciseat,1,0.955924244,0,0,0.084283949,8,0,0,receipt,0.5,0.625,0.833333333,5
expent,1,0.975742807,0.83897984,0,0.08522142,6,0,0,explained,0.555555556,0.444444444,0.8,4
wone,1,0.988457216,0,0,0.103943324,4,0,0,women,0.4,0.8,1,4
florgncy,1,0.961990537,0.92287755,0,0.0317178,8,0,0,flagrancy,0.333333333,0.777777778,0.875,7
arround,1,0.963651505,0,0,0.092259647,7,0,0,around,0.142857143,1,1,6
buryed,1,0.977159783,0,0,0.080000498,6,0,0,buried,0.166666667,0.714285714,0.833333333,5
annim,1,0.95593566,0,0.45467034,0.041708467,5,0,0,annum,0.2,0.6,0.75,3
pneumphia,1,0.963493096,0,0,0.019611128,9,0,0,pneumonia,0.222222222,0.777777778,0.875,7
emmedatly,1,0.981496763,0.559278131,0,0.052438191,9,0,0,immediately,0.272727273,0.875,1,7
reconshion,1,0.981283886,0,0,0.098133093,10,0,0,requisition,0.454545455,0.545454545,0.75,6
gallowry,1,0.976754479,0,0,0.052195035,8,0,0,gallery,0.25,0.625,0.833333333,5
annalisous,1,0.950418761,0,0.445150375,0.073256711,10,0,0,analysis,0.4,0.625,0.833333333,5
remener,1,0.969517579,0,0,0.107160299,7,0,0,remember,0.25,0.6,0.75,3
specifuclly,1,0.666292854,0,0,0.047065287,11,0,0,specifically,0.166666667,0.8,0.888888889,8
incedintally,1,0.993033143,0,0,0.106279952,12,0,0,incidentally,0.166666667,1,1,9
indeffently,1,0.956611539,0,0,0.071664896,11,0,0,indefinitely,0.333333333,1,1,8
spicale,1,0.991500757,0.976277769,0,0.073513994,7,0,0,special,0.428571429,1,1,7
regene,1,0.957753726,0.805446565,0,0.070891225,6,0,0,region,0.5,0.666666667,1,4
amoung,1,0.964795968,0.610923052,0,0.085761955,6,0,0,among,0.166666667,0.833333333,1,5
distroyed,1,0.969573204,0,0,0.054586416,9,0,0,destroyed,0.111111111,0.875,1,7
infront,1,0.990760985,0.998954296,0,0.084310385,7,0,0,in front,0.125,0.857142857,1,6
skersley,1,0.956785196,0.723331273,0,0.045279257,8,0,0,scarcely,0.625,0.625,0.833333333,5
dall,1,0.515914697,0.988647044,0.794894755,0.06319015,4,0,0,doll,0.25,0.5,0.666666667,2
negoseeasion,1,0.968603153,0,0,0.053544159,12,0,0,negotiations,0.416666667,0.875,1,7
gaurenteed,1,0.957068293,0,0,0.071996064,10,0,0,guaranteed,0.3,1,1,8
erested,1,0.962281153,0.954936683,0,0.118713353,7,0,0,arrested,0.25,0.833333333,1,5
closeing,1,0.987664215,0,0,0.064880131,8,0,0,closing,0.125,0.875,1,7
confidental,1,0.957443984,0,0,0.073195567,11,0,0,confidential,0.083333333,1,1,10
frtrd,1,0.972236219,0,0,0.040962203,5,0,0,frightened,0.6,0.444444444,1,4
guerrila,1,0.990896054,0,0.499347299,0.05660745,8,0,0,guerrilla,0.111111111,1,1,7
possibilty,1,0.973123625,0,0,0.034605646,10,0,0,possibility,0.090909091,1,1,8
woodes,1,0.966888321,0,0,0.053800578,6,0,0,woods,0.166666667,0.8,1,4
proceeduare,1,0.983457552,0.471806437,0,0.062825426,11,0,0,procedure,0.181818182,0.875,1,7
sicolgy,1,0.985546439,0.954578519,0,0.020974061,7,0,0,psychology,0.4,0.666666667,0.857142857,6
contreversey,1,0.953451717,0.692567825,0,0.088138065,12,0,0,controversy,0.166666667,1,1,9
safr,1,0.977312282,0,0.490490854,0.032658736,4,0,0,safe,0.25,0.6,0.75,3
facter,1,0.986108282,0.705780149,0,0.079063035,6,0,0,factor,0.166666667,0.714285714,0.833333333,5
phenonmena,1,0.961617984,0,0,0.065244873,10,0,0,phenomena,0.1,1,1,7
predjudis,1,0.965326821,0,0,0.067850108,9,0,0,prejudice,0.333333333,0.777777778,0.875,7
countenant,1,0.985010229,0.92580533,0,0.106762082,10,0,0,continent,0.3,0.625,0.833333333,5
comparativeally,1,0.978633986,0,0,0.096326635,15,0,0,comparatively,0.133333333,1,1,12
eqquipped,1,0.960210727,0,0,0.022627071,9,0,0,equipped,0.111111111,1,1,6
opicet,1,0.972243469,0,0,0.05120534,6,0,0,opposite,0.625,0.714285714,0.833333333,5
automible,1,0.956062236,0,0,0.058284585,9,0,0,automobile,0.2,1,1,9
refrigiater,1,0.920397551,0,0,0.065815137,11,0,0,refrigerator,0.25,0.875,1,7
bluf,1,0.959844556,0.684601247,0.682425022,0.025695009,4,0,0,bluff,0.2,1,1,4
infustason,1,0.969178582,0,0,0.069647102,10,0,0,enthusiasm,0.6,0.545454545,0.75,6
carless,1,0.959963944,0,0,0.067457336,7,0,0,careless,0.125,1,1,6
asymetric,1,0.970765594,0,0,0.040180128,9,0,0,asymmetric,0.1,1,1,9
opersite,1,0.953461021,0,0,0.078905498,8,0,0,opposite,0.25,0.857142857,1,6
misscelanious,1,0.960296061,0,0,0.078411195,13,0,0,miscellaneous,0.230769231,1,1,10
adquiring,1,0.485039261,0,0,0.048047328,9,0,0,acquiring,0.111111111,0.777777778,0.875,7
vearious,1,0.964168751,0.85553503,0.469282031,0.115301219,8,0,0,various,0.125,0.875,1,7
vadgne,1,0.982439853,0.972287655,0,0.032097656,6,0,0,vagabond,0.625,0.625,0.833333333,5
aquiver,1,0.378862981,0.556213617,0,0.033398816,7,0,0,a-quiver,0.125,0.875,1,7
